design_id,target,rank,mean_binder_plddt,mean_binder_intrachain_pae,min_interaction_pae,rmsd_to_rfdiff,binder_length,target_length,model_file,ptm,iptm,pae_rank,raw_score
design_0.1,ESAG6__vs__ESAG7,1,53.530317460317455,7.026815318720081,18.8,1.2286037639673233,63,320,design_0.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,0.88,0.82,1.0,0.1559521592903954
design_0.1,ESAG6__vs__ESAG7,2,42.10269841269841,11.352501889644747,22.59,6.800300436097095,63,320,design_0.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb,0.87,0.81,3.0,0.1559521592903954
design_0.1,ESAG6__vs__ESAG7,3,43.120793650793644,11.254812295288485,24.09,7.627985954898865,63,320,design_0.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb,0.87,0.81,5.0,0.1559521592903954
design_0.1,ESAG6__vs__ESAG7,4,44.467619047619046,10.783376165280927,20.75,1.470441394622558,63,320,design_0.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb,0.87,0.8,2.0,0.1559521592903954
design_0.1,ESAG6__vs__ESAG7,5,42.201428571428565,10.75682035777274,23.5,1.9381145374312245,63,320,design_0.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb,0.87,0.8,4.0,0.1559521592903954
design_1.1,ESAG6__vs__ESAG7,1,74.30826923076924,7.149881656804733,2.24,10.685724250826839,52,320,design_1.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,0.94,0.93,1.0,0.2590868746669688
design_1.1,ESAG6__vs__ESAG7,2,75.52442307692309,6.465965236686391,2.92,11.037928106990348,52,320,design_1.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb,0.94,0.93,2.0,0.2590868746669688
design_1.1,ESAG6__vs__ESAG7,3,67.3325,8.523572485207099,3.65,10.579864596108417,52,320,design_1.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb,0.94,0.92,3.0,0.2590868746669688
design_1.1,ESAG6__vs__ESAG7,4,37.80423076923077,11.820791420118342,18.48,4.602709082443977,52,320,design_1.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb,0.89,0.84,4.0,0.2590868746669688
design_1.1,ESAG6__vs__ESAG7,5,40.46,10.063491124260356,20.3,5.60868800700034,52,320,design_1.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb,0.89,0.83,5.0,0.2590868746669688
design_10.1,ESAG6__vs__ESAG7,1,34.0456,16.904186666666668,22.14,12.222910852516819,75,320,design_10.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,0.85,0.77,1.0,0.13034003249381046
design_10.1,ESAG6__vs__ESAG7,2,44.62693333333334,10.952181333333332,24.31,7.566107640707583,75,320,design_10.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb,0.85,0.77,4.0,0.13034003249381046
design_10.1,ESAG6__vs__ESAG7,3,35.54906666666667,17.061552000000002,23.11,13.876201656988435,75,320,design_10.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb,0.85,0.77,3.0,0.13034003249381046
design_10.1,ESAG6__vs__ESAG7,4,30.229599999999998,18.461395555555555,24.58,11.920053539913377,75,320,design_10.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb,0.81,0.72,5.0,0.13034003249381046
design_10.1,ESAG6__vs__ESAG7,5,32.9072,17.644652444444443,23.0,8.481889066682088,75,320,design_10.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb,0.81,0.71,2.0,0.13034003249381046
design_100.1,ESAG6__vs__ESAG7,1,62.98029411764707,8.378810553633219,2.84,3.246217665463093,68,320,design_100.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,0.94,0.92,1.0,0.38469952908066224
design_100.1,ESAG6__vs__ESAG7,2,70.6039705882353,5.17952205882353,7.39,1.1921480499761965,68,320,design_100.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb,0.91,0.88,2.0,0.38469952908066224
design_100.1,ESAG6__vs__ESAG7,3,54.51014705882353,7.930947231833909,11.04,3.9077397954342206,68,320,design_100.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb,0.9,0.86,3.0,0.38469952908066224
design_100.1,ESAG6__vs__ESAG7,4,48.11191176470589,9.215313581314879,12.41,2.98390082149435,68,320,design_100.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb,0.89,0.85,4.0,0.38469952908066224
design_100.1,ESAG6__vs__ESAG7,5,61.26985294117646,5.002391868512111,17.73,1.6055005303080045,68,320,design_100.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb,0.87,0.81,5.0,0.38469952908066224
design_101.1,ESAG6__vs__ESAG7,1,41.501694915254234,9.894510198218901,21.56,2.577636768225579,59,320,design_101.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,0.88,0.82,2.0,0.14900331211629964
design_101.1,ESAG6__vs__ESAG7,2,50.051186440677974,7.111804079287561,21.55,2.2242224433606217,59,320,design_101.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb,0.88,0.82,1.0,0.14900331211629964
design_101.1,ESAG6__vs__ESAG7,3,46.644067796610166,7.8053346739442695,25.05,2.653352386777644,59,320,design_101.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb,0.88,0.81,5.0,0.14900331211629964
design_101.1,ESAG6__vs__ESAG7,4,46.255932203389825,8.699965527147372,22.67,2.7671950660180418,59,320,design_101.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb,0.88,0.81,3.0,0.14900331211629964
design_101.1,ESAG6__vs__ESAG7,5,44.56542372881357,7.823743177247917,23.05,3.672718739965612,59,320,design_101.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb,0.88,0.81,4.0,0.14900331211629964
design_102.1,ESAG6__vs__ESAG7,1,46.02898305084745,10.053102556736569,22.67,3.9220105014704054,59,320,design_102.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,0.86,0.79,1.0,0.13002551777228136
design_102.1,ESAG6__vs__ESAG7,2,38.534745762711864,14.012306808388395,23.72,9.149707139100682,59,320,design_102.1__vs__ESAG6__vs__ESAG7_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb,0.73,0.55,2.0,0.13002551777228136
