design_id,target,rank,mean_binder_plddt,mean_binder_intrachain_pae,min_interaction_pae,rmsd_to_rfdiff,binder_length,target_length,model_file,ptm,iptm,pae_rank,raw_score
design_0.1,TbHpHbR,1,39.67269230769231,12.716423405654176,17.55,8.469076987237308,78,260,design_0.1__vs__TbHpHbR_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,0.69,0.18,2.0,0.16607557096258493
design_0.1,TbHpHbR,2,31.845256410256415,16.159991781722553,18.72,8.874479827052205,78,260,design_0.1__vs__TbHpHbR_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb,0.7,0.18,3.0,0.16607557096258493
design_0.1,TbHpHbR,3,37.03179487179488,13.202184418145956,17.45,8.83034415663466,78,260,design_0.1__vs__TbHpHbR_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb,0.69,0.17,1.0,0.16607557096258493
design_0.1,TbHpHbR,4,38.758974358974356,12.046499013806706,18.78,8.685458433375647,78,260,design_0.1__vs__TbHpHbR_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb,0.68,0.15,4.0,0.16607557096258493
design_0.1,TbHpHbR,5,32.70666666666666,16.40894477317554,20.27,8.030353924081775,78,260,design_0.1__vs__TbHpHbR_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb,0.68,0.15,5.0,0.16607557096258493
design_1.1,TbHpHbR,1,52.44177777777778,9.009196296296295,19.5,3.5860387156578866,90,260,design_1.1__vs__TbHpHbR_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,0.67,0.14,4.0,0.18550682753950246
design_1.1,TbHpHbR,2,49.34144444444445,9.993197530864197,15.67,3.99226148633774,90,260,design_1.1__vs__TbHpHbR_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb,0.66,0.13,1.0,0.18550682753950246
design_1.1,TbHpHbR,3,49.69733333333333,9.429966666666665,20.31,3.594286905863233,90,260,design_1.1__vs__TbHpHbR_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb,0.66,0.12,5.0,0.18550682753950246
design_1.1,TbHpHbR,4,46.09277777777777,11.820539506172839,17.73,3.761679378069661,90,260,design_1.1__vs__TbHpHbR_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb,0.66,0.11,2.0,0.18550682753950246
design_1.1,TbHpHbR,5,54.09277777777778,9.128639506172838,18.3,3.5102285980173544,90,260,design_1.1__vs__TbHpHbR_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb,0.65,0.11,3.0,0.18550682753950246
design_10.1,TbHpHbR,1,36.53702380952382,14.643535997732428,19.98,10.032018668228256,84,260,design_10.1__vs__TbHpHbR_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,0.68,0.16,2.0,0.1469013420326889
design_10.1,TbHpHbR,2,37.1517857142857,14.035250850340136,20.39,11.528509174074701,84,260,design_10.1__vs__TbHpHbR_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb,0.66,0.13,3.0,0.1469013420326889
design_10.1,TbHpHbR,3,36.93821428571428,14.180378401360544,18.86,10.858081725592102,84,260,design_10.1__vs__TbHpHbR_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb,0.67,0.13,1.0,0.1469013420326889
design_10.1,TbHpHbR,4,36.49559523809524,14.52171343537415,22.08,11.058668764443377,84,260,design_10.1__vs__TbHpHbR_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb,0.67,0.12,5.0,0.1469013420326889
design_10.1,TbHpHbR,5,39.85440476190476,13.443166099773244,20.72,11.255500909150799,84,260,design_10.1__vs__TbHpHbR_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb,0.66,0.11,4.0,0.1469013420326889
design_100.1,TbHpHbR,1,54.5817441860465,8.419967550027042,14.22,4.689758638234863,86,260,design_100.1__vs__TbHpHbR_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,0.69,0.22,1.0,0.21182069607592438
